GEO_ID,NAME,POPGROUP,POPGROUP_LABEL,B05006_001E,COLORSCALE,B05006_001M,B05006_002E,B05006_002M,B05006_003E,B05006_003M,B05006_004E,B05006_004M,B05006_005E,B05006_005M,B05006_006E,B05006_006M,B05006_007E,B05006_007M,B05006_008E,B05006_008M,B05006_009E,B05006_009M,B05006_010E,B05006_010M,B05006_011E,B05006_011M,B05006_012E,B05006_012M,B05006_013E,B05006_013M,B05006_014E,B05006_014M,B05006_015E,B05006_015M,B05006_016E,B05006_016M,B05006_017E,B05006_017M,B05006_018E,B05006_018M,B05006_019E,B05006_019M,B05006_020E,B05006_020M,B05006_021E,B05006_021M,B05006_022E,B05006_022M,B05006_023E,B05006_023M,B05006_024E,B05006_024M,B05006_025E,B05006_025M,B05006_026E,B05006_026M,B05006_027E,B05006_027M,B05006_028E,B05006_028M,B05006_029E,B05006_029M,B05006_030E,B05006_030M,B05006_031E,B05006_031M,B05006_032E,B05006_032M,B05006_033E,B05006_033M,B05006_034E,B05006_034M,B05006_035E,B05006_035M,B05006_036E,B05006_036M,B05006_037E,B05006_037M,B05006_038E,B05006_038M,B05006_039E,B05006_039M,B05006_040E,B05006_040M,B05006_041E,B05006_041M,B05006_042E,B05006_042M,B05006_043E,B05006_043M,B05006_044E,B05006_044M,B05006_045E,B05006_045M,B05006_046E,B05006_046M,B05006_047E,B05006_047M,B05006_048E,B05006_048M,B05006_049E,B05006_049M,B05006_050E,B05006_050M,B05006_051E,B05006_051M,B05006_052E,B05006_052M,B05006_053E,B05006_053M,B05006_054E,B05006_054M,B05006_055E,B05006_055M,B05006_056E,B05006_056M,B05006_057E,B05006_057M,B05006_058E,B05006_058M,B05006_059E,B05006_059M,B05006_060E,B05006_060M,B05006_061E,B05006_061M,B05006_062E,B05006_062M,B05006_063E,B05006_063M,B05006_064E,B05006_064M,B05006_065E,B05006_065M,B05006_066E,B05006_066M,B05006_067E,B05006_067M,B05006_068E,B05006_068M,B05006_069E,B05006_069M,B05006_070E,B05006_070M,B05006_071E,B05006_071M,B05006_072E,B05006_072M,B05006_073E,B05006_073M,B05006_074E,B05006_074M,B05006_075E,B05006_075M,B05006_076E,B05006_076M,B05006_077E,B05006_077M,B05006_078E,B05006_078M,B05006_079E,B05006_079M,B05006_080E,B05006_080M,B05006_081E,B05006_081M,B05006_082E,B05006_082M,B05006_083E,B05006_083M,B05006_084E,B05006_084M,B05006_085E,B05006_085M,B05006_086E,B05006_086M,B05006_087E,B05006_087M,B05006_088E,B05006_088M,B05006_089E,B05006_089M,B05006_090E,B05006_090M,B05006_091E,B05006_091M,B05006_092E,B05006_092M,B05006_093E,B05006_093M,B05006_094E,B05006_094M,B05006_095E,B05006_095M,B05006_096E,B05006_096M,B05006_097E,B05006_097M,B05006_098E,B05006_098M,B05006_099E,B05006_099M,B05006_100E,B05006_100M,B05006_101E,B05006_101M,B05006_102E,B05006_102M,B05006_103E,B05006_103M,B05006_104E,B05006_104M,B05006_105E,B05006_105M,B05006_106E,B05006_106M,B05006_107E,B05006_107M,B05006_108E,B05006_108M,B05006_109E,B05006_109M,B05006_110E,B05006_110M,B05006_111E,B05006_111M,B05006_112E,B05006_112M,B05006_113E,B05006_113M,B05006_114E,B05006_114M,B05006_115E,B05006_115M,B05006_116E,B05006_116M,B05006_117E,B05006_117M,B05006_118E,B05006_118M,B05006_119E,B05006_119M,B05006_120E,B05006_120M,B05006_121E,B05006_121M,B05006_122E,B05006_122M,B05006_123E,B05006_123M,B05006_124E,B05006_124M,B05006_125E,B05006_125M,B05006_126E,B05006_126M,B05006_127E,B05006_127M,B05006_128E,B05006_128M,B05006_129E,B05006_129M,B05006_130E,B05006_130M,B05006_131E,B05006_131M,B05006_132E,B05006_132M,B05006_133E,B05006_133M,B05006_134E,B05006_134M,B05006_135E,B05006_135M,B05006_136E,B05006_136M,B05006_137E,B05006_137M,B05006_138E,B05006_138M,B05006_139E,B05006_139M,B05006_140E,B05006_140M,B05006_141E,B05006_141M,B05006_142E,B05006_142M,B05006_143E,B05006_143M,B05006_144E,B05006_144M,B05006_145E,B05006_145M,B05006_146E,B05006_146M,B05006_147E,B05006_147M,B05006_148E,B05006_148M,B05006_149E,B05006_149M,B05006_150E,B05006_150M,B05006_151E,B05006_151M,B05006_152E,B05006_152M,B05006_153E,B05006_153M,B05006_154E,B05006_154M,B05006_155E,B05006_155M,B05006_156E,B05006_156M,B05006_157E,B05006_157M,B05006_158E,B05006_158M,B05006_159E,B05006_159M,B05006_160E,B05006_160M,B05006_161E,B05006_161M,B05006_162E,B05006_162M,B05006_163E,B05006_163M,B05006_164E,B05006_164M,B05006_165E,B05006_165M,B05006_166E,B05006_166M,B05006_167E,B05006_167M,B05006_168E,B05006_168M
0605990050,"Anaheim-Santa Ana-Garden Grove CCD, Orange County, California",29,Vietnamese alone,86013,10,2852,249,151,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,242,152,0,31,3,7,148,109,91,87,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,7,13,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,7,13,0,31,0,31,0,31,0,31,85565,2858,1493,338,475,199,338,170,50,73,87,64,198,118,820,286,0,31,365,175,6,9,47,62,130,123,0,31,0,31,34,38,142,135,6,13,0,31,0,31,83693,2832,10,12,255,173,124,91,143,130,76,47,1920,517,0,31,73,81,81092,2726,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,14,23,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,46,38,46,38,46,38,0,31,0,31,0,31,0,31,153,85,105,82,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,93,80,0,31,0,31,9,13,0,31,0,31,69,76,0,31,15,22,0,31,12,20,0,31,0,31,12,20,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,48,37,48,37,0,31
0608592830,"San Jose CCD, Santa Clara County, California",29,Vietnamese alone,91599,10,3498,330,141,11,15,0,31,0,31,0,31,0,31,11,15,6,12,5,9,0,31,0,31,264,130,0,31,0,31,240,129,18,16,0,31,6,10,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,55,65,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,30,53,25,40,0,31,91159,3501,1601,438,1004,256,547,193,145,89,312,133,458,298,139,94,0,31,1007,340,0,31,0,31,895,319,4,6,0,31,0,31,64,86,44,66,0,31,0,31,88530,3546,9,14,199,116,56,46,163,80,198,114,1462,516,8,12,175,83,86260,3414,0,31,18,20,0,31,0,31,0,31,0,31,5,9,0,31,0,31,0,31,0,31,0,31,13,20,3,61,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,2,10,2,10,2,10,0,31,0,31,0,31,0,31,108,61,43,47,11,18,0,31,0,31,11,18,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,12,18,0,31,0,31,12,18,0,31,0,31,0,31,0,31,0,31,0,31,20,30,20,30,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,65,45,65,45,0,31
4820191835,"Houston CCD, Harris County, Texas",29,Vietnamese alone,57934,7,3813,68,61,26,42,0,34,0,34,26,42,0,34,0,34,0,34,0,34,0,34,0,34,31,37,0,34,0,34,31,37,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,11,17,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,11,17,0,34,0,34,0,34,0,34,0,34,0,34,57406,3803,306,169,236,145,161,121,28,36,47,67,7,12,63,66,0,34,464,205,0,34,7,12,250,149,19,26,0,34,19,31,169,128,0,34,0,34,0,34,56252,3744,38,57,161,140,150,152,106,73,188,141,270,219,0,34,103,73,55236,3690,0,34,384,423,0,34,196,266,0,34,0,34,0,34,0,34,188,340,0,34,0,34,0,34,0,34,0,34,35,56,35,56,0,34,0,34,0,34,0,34,35,56,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,425,464,23,27,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,23,27,0,34,0,34,0,34,0,34,14,23,9,14,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,402,462,402,462,0,34
0605992150,"North Coast CCD, Orange County, California",29,Vietnamese alone,43473,5,1762,117,60,15,22,0,31,0,31,0,31,0,31,15,22,0,31,15,22,0,31,0,31,92,55,8,13,24,39,16,19,25,28,19,26,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,10,15,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,10,15,0,31,0,31,0,31,0,31,0,31,0,31,43305,1750,784,304,381,252,54,47,83,71,244,237,191,132,212,120,0,31,121,70,30,41,7,12,75,57,0,31,0,31,0,31,9,13,0,31,0,31,0,31,42364,1732,3,7,195,125,0,31,85,51,46,37,257,166,0,31,69,96,41709,1725,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,36,35,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,10,16,10,16,10,16,0,31,0,31,0,31,0,31,41,38,31,33,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,31,33,0,31,0,31,0,31,0,31,0,31,31,33,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,10,17,10,17,0,31
0607392780,"San Diego CCD, San Diego County, California",29,Vietnamese alone,27268,3,2088,17,23,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,17,23,0,31,0,31,12,21,5,10,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,27012,2055,564,163,255,113,180,104,46,48,29,32,183,103,126,104,0,31,174,106,22,37,29,48,117,89,0,31,0,31,6,9,0,31,0,31,0,31,0,31,26267,2014,0,31,93,82,72,71,180,90,23,31,537,159,0,31,77,56,25285,2025,0,31,7,13,0,31,0,31,7,13,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,239,227,13,22,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,13,22,0,31,0,31,0,31,0,31,0,31,13,22,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,226,226,226,226,0,31
5303392928,"Seattle CCD, King County, Washington",29,Vietnamese alone,19944,3,1521,8,13,8,13,0,30,0,30,8,13,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,19921,1524,395,151,230,114,147,89,83,74,0,30,7,13,146,85,12,20,93,77,8,14,0,30,85,76,0,30,0,30,0,30,0,30,0,30,0,30,0,30,19433,1511,0,30,74,49,38,45,50,53,84,107,418,206,0,30,74,65,18695,1433,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,15,24,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,15,24,15,24,0,30
0401392601,"Phoenix CCD, Maricopa County, Arizona",29,Vietnamese alone,9994,2,1126,38,42,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,38,42,22,33,0,31,0,31,16,24,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,9852,1135,220,127,121,99,110,99,11,19,0,31,21,34,78,69,0,31,135,86,0,31,13,21,105,75,0,31,0,31,17,27,0,31,0,31,0,31,0,31,9497,1101,48,79,42,38,8,14,31,51,0,31,71,55,0,31,8,13,9289,1095,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,104,75,15,25,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,15,25,0,31,0,31,0,31,0,31,0,31,15,25,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,89,72,89,72,0,31
0603790810,"East San Gabriel Valley CCD, Los Angeles County, California",29,Vietnamese alone,9728,2,1054,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,9573,1001,436,169,421,167,275,150,94,67,52,50,0,31,15,16,0,31,66,74,0,31,0,31,57,70,0,31,0,31,0,31,9,14,0,31,0,31,0,31,9071,970,0,31,0,31,0,31,0,31,5,8,207,90,0,31,17,26,8842,979,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,155,195,40,54,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,40,54,0,31,0,31,32,52,8,13,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,115,186,115,186,0,31
0603792785,"San Fernando Valley CCD, Los Angeles County, California",29,Vietnamese alone,10123,2,1424,13,20,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,13,20,0,31,0,31,0,31,13,20,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,10086,1420,221,250,51,53,33,40,18,30,0,31,0,31,170,240,0,31,185,177,0,31,0,31,171,176,0,31,0,31,0,31,0,31,14,21,0,31,0,31,9680,1261,0,31,2,4,69,61,0,31,61,76,530,360,0,31,55,54,8963,1163,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,24,25,15,20,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,8,16,0,31,0,31,0,31,0,31,0,31,8,16,0,31,0,31,0,31,7,11,0,31,7,11,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,9,14,9,14,0,31
0603793200,"Southwest San Gabriel Valley CCD, Los Angeles County, California",29,Vietnamese alone,14078,2,1571,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,14078,1571,799,491,788,490,349,155,133,101,306,441,11,15,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,13279,1402,0,31,83,101,21,24,17,28,0,31,86,65,10,14,8,12,13054,1394,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31
